,Number,Name,Pos,Height,Weight,Date of Birth,Birth Place,Previous Club,Current Club,Year,Country League
1,1,Douglas,G,"6'02""",13 03,23-03-80,Itaporanga,Coritiba,Acadιmica,2006,Portuguese
2,2,Joeano,F,"5'09""",11 05,12-08-79,Fortaleza,Beitar Jerusalem,Acadιmica,2006,Portuguese
3,3,Danilo,D,"6'00""",11 11,19-08-80,Mirassol,Coritiba,Acadιmica,2006,Portuguese
4,4,Kaká,D,"6'02""",12 11,16-05-81,,Grémio Jaciára,Acadιmica,2006,Portuguese
5,5,Alexandre,M,"5'09""",11 11,19-02-79,Brotas,Corinthians Alagoano,Acadιmica,2006,Portuguese
6,6,Roberto Brum,M,"5'08""",11 03,07-07-78,Rio de Janeiro,Coritiba,Acadιmica,2006,Portuguese
7,7,Hélder Barbosa,F,5'08'',10 08,25-05-87,Paredes,FC Porto,Acadιmica,2006,Portuguese
8,8,Paulo Sérgio,M,6'00'',13 03,21-07-81,Rio de Janeiro,Moreirense,Acadιmica,2006,Portuguese
9,9,Gélson Geraldo,F,5'11'',12 00,10-01-79,Curitiba,Malmo FF,Acadιmica,2006,Portuguese
10,10,Felipe Teixeira,F,5'09'',10 10,02-10-80,Paris,Paris-SG,Acadιmica,2006,Portuguese
11,11,Dionattan,M,5'11'',11 03,28-05-82,São Miguel do Iguaçu,Juventude,Acadιmica,2006,Portuguese
14,14,Leonel Jesus Medeiros,M,6'01'',13 01,14-04-77,Orléans,Vit. Guimarães,Acadιmica,2006,Portuguese
15,15,Eduardo,G,5'10'',11 03,10-12-78,Lousa,Sp. Pombal,Acadιmica,2006,Portuguese
16,16,Lino,D,6'00'',11 07,01-06-77,São Paulo,Juventude Caxias,Acadιmica,2006,Portuguese
17,17,Fausto,F,,,19-01-87,,None,Acadιmica,2006,Portuguese
18,18,Vítor Vinha,M,5'11'',11 03,11-11-85,Viseu,None,Acadιmica,2006,Portuguese
19,19,Miguel Pedro,F,5'09'',11 00,11-06-83,Porto,Desp. Aves,Acadιmica,2006,Portuguese
20,20,Lira,D,"5'10""",11 00,05-04-83,Paraná,Botafogo,Acadιmica,2006,Portuguese
21,21,Litos,D,6'01'',12 11,26-02-74,Paranhas,Málaga,Acadιmica,2006,Portuguese
22,22,Sarmento,F,"5'11""",10 12,16-03-85,Mortágua,None,Acadιmica,2006,Portuguese
23,23,Ito,D,,,24-05-87,,None,Acadιmica,2006,Portuguese
24,24,Pedro Roma,G,6'01'',13 01,13-08-70,Pombal,Gil Vicente,Acadιmica,2006,Portuguese
25,25,Fatih Sonkaya,D,"5'11""",13 05,01-07-81,Oitu,FC Porto,Acadιmica,2006,Portuguese
27,27,Nuno Luís,D,5'09'',11 09,15-01-75,Vila Franca de Xira,Nacional,Acadιmica,2006,Portuguese
28,28,Nuno Piloto,M,5'10'',11 07,19-03-82,Viseu,None,Acadιmica,2006,Portuguese
29,29,Szabolcs Gyánó,F,"6'01""",12 08,09-01-80,Dombóvár,Vasas,Acadιmica,2006,Portuguese
30,30,Raúl Henrique Estévez,F,5'08'',11 03,21-01-78,Lomas de Zamora,Racing,Acadιmica,2006,Portuguese
32,32,Miloš Pavlovic,F,"6'03""",12 11,27-11-83,,Voždovac,Acadιmica,2006,Portuguese
41,77,Dame N'Doye,M,,,21-02-85,,Al-Sadd Sports Club,Acadιmica,2006,Portuguese
42,82,Cláudio Pitbull,F,"5'08""",11  07,08-01-82,Porto  Alegre,FC Porto,Acadιmica,2006,Portuguese
43,99,Nestor Álvarez,F,"5'11""",12 08,04-11-80,Medellín,Deportes Tolima,Acadιmica,2006,Portuguese
1,1,Todor Kuchukov,G,"6'01""",12 08,06-09-78,Sofia,CSKA Sofia,Beira-Mar,2006,Portuguese
2,2,Reginaldo,D,5'11'',10 12,02-10-77,Presidente Prudente,Santa Cruz,Beira-Mar,2006,Portuguese
3,3,Yohanna Buba,D,6'01'',11  11,12-06-82,Balong,Estoril,Beira-Mar,2006,Portuguese
4,4,Ezequias,D,5'11'',10 12,28-01-81,Junidia,FC Porto,Beira-Mar,2006,Portuguese
5,5,Vasco Matos,M,5'09'',10  12,10-10-80,Lisbon,Olhanense,Beira-Mar,2006,Portuguese
7,7,Artur,F,"5'09""",10  12,18-02-84,Aveiro,Gafanha,Beira-Mar,2006,Portuguese
8,8,André Leão,M,6'00'',12 04,20-05-85,Freamunde,FC Porto B,Beira-Mar,2006,Portuguese
10,10,Luciano Ratinho,M,"5'08""",10 10,18-10-79,Ribeirão Preto,Paysandu,Beira-Mar,2006,Portuguese
11,11,Roma,F,"5'07""",11 07,16-02-85,João Pessoa,Valdevez,Beira-Mar,2006,Portuguese
12,12,Eduardo,G,"6'02""",13 03,19-09-82,Mirandela,Sporting Braga,Beira-Mar,2006,Portuguese
15,15,Mourtala Diakité,F,"6'02""",12 08,01-10-80,Bamako,Cercle Olympique Bamako,Beira-Mar,2006,Portuguese
19,19,Ricardo,D,"6'01""",12 02,19-08-80,Guimarães,Freamunde,Beira-Mar,2006,Portuguese
20,20,Tininho,D,"5'09""",11  11,13-10-80,Beira,Micaelense,Beira-Mar,2006,Portuguese
23,23,Rui Lima,F,5'09'',10  10,25-03-78,Oporto,Boavista,Beira-Mar,2006,Portuguese
25,25,Pedro Ribeiro,D,5'11'',10  03,08-02-79,Aveiro,None,Beira-Mar,2006,Portuguese
26,26,Emerson,M,"5'10""",12  11,11-07-82,,Est. Amadora,Beira-Mar,2006,Portuguese
28,28,Vukain Dević,D,"6'01""",11 11,15-03-84,Belgrade,Radnički Pirot,Beira-Mar,2006,Portuguese
30,30,Antolin Alcaraz,D,6'02'',12  13,30-07-82,Roque  Gonzalez,Fiorentina,Beira-Mar,2006,Portuguese
31,31,Leandro Makelele,M,5'07'',10 06,26-02-85,Salvador,Santo André,Beira-Mar,2006,Portuguese
33,33,Andrija Delibaić,F,"6'02""",13 03,24-04-81,Nikić,Mallorca,Beira-Mar,2006,Portuguese
35,35,Diego,M,6'02'',10 12,25-02-86,Porto União,Iraty,Beira-Mar,2006,Portuguese
36,36,Jorge  Silva,D,5'11'',12  04,04-12-75,Porto,Boavista,Beira-Mar,2006,Portuguese
40,40,Borko Veselinović,F,"5'10""",11 03,06-01-86,Belgrade,Partizan Belgrade,Beira-Mar,2006,Portuguese
41,55,Lamine Diarra,F,5'11'',11 00,20-12-83,Bignoma,Zrinjski Mostar,Beira-Mar,2006,Portuguese
42,77,Jorge Vidigal,D,"5'09""",11 11,20-01-78,Elvas,Olhanense,Beira-Mar,2006,Portuguese
43,80,Edgar,F,"6'03""",12  00,03-01-87,São  Carlos,Joinville,Beira-Mar,2006,Portuguese
44,88,Alê Montrinas,G,"6'00""",12 06,11-09-81,Brasília,Bragantino,Beira-Mar,2006,Portuguese
45,99,Matheus Nascimento,F,5'09'',10 10,15-01-83,Itabaiana,Sp. Braga,Beira-Mar,2006,Portuguese
1,1,Marco,G,"6'04""",12 13,01-03-78,Amares,Sporting Braga,Belenenses,2006,Portuguese
2,2,Amaral,D,"5'07""",10 12,28-02-72,Capivari,Leixões,Belenenses,2006,Portuguese
4,4,Rodrigo Alvim,D,6'00'',11 05,25-11-83,Paraná,Paraná,Belenenses,2006,Portuguese
5,5,Ruben Amorim,M,"5'10""",11 05,27-01-85,Lisbon,None,Belenenses,2006,Portuguese
6,6,Sandro Gaúcho,M,5'10'',12 01,19-05-74,Restinga Seca,Beira-Mar,Belenenses,2006,Portuguese
7,7,Mancuso,M,"5'10""",12 02,01-07-81,Conceição Rio Verde,Marítimo,Belenenses,2006,Portuguese
8,8,Eliseu,F,"5'09""",12 01,01-10-83,Acoras,Lusitãnia,Belenenses,2006,Portuguese
9,9,Romeu,F,5'11'',12 08,08-10-74,Santa Maria de Fiera,Vitória Guimarães,Belenenses,2006,Portuguese
10,10,Silas,M,"5'10""",11 00,01-09-76,Lisbon,Wolverhampton W,Belenenses,2006,Portuguese
11,11,José Pedro,M,"6'01""",12 01,18-10-78,Montijo,Vitória Setúbal,Belenenses,2006,Portuguese
13,13,Rolando,D,"6'02""",12 01,31-08-85,Cape Verde,None,Belenenses,2006,Portuguese
14,14,Mano,M,"5'06""",09 06,09-04-87,Lisbon,None,Belenenses,2006,Portuguese
16,16,José Carlos Sousa,D,5'11'',12 00,09-10-77,São João Madeira,FC Porto,Belenenses,2006,Portuguese
17,17,José Gaspar,D,6'03'',12 04,01-06-75,Santo Tirso,Ajaccio,Belenenses,2006,Portuguese
18,18,Pedro Pinheiro,M,"5'11""",11 05,17-02-77,Gaia,Estoril,Belenenses,2006,Portuguese
19,19,Roma,F,,,22-02-79,,Pumas,Belenenses,2006,Portuguese
21,21,Ivan Djurdjevic,M,"6'00""",12 08,05-02-77,Belgrade,Vitória Guimarães,Belenenses,2006,Portuguese
23,23,Sandro Moreira,M,"5'11""",09 06,11-03-87,Lisbon,None,Belenenses,2006,Portuguese
24,24,Carlitos,F,5'06'',10 06,06-03-77,Barcelos,Gil Vicente,Belenenses,2006,Portuguese
25,25,Nivaldo,D,"6'02""",11 11,23-06-80,Feira de Santana,Coritiba,Belenenses,2006,Portuguese
27,27,Cândido Costa,M,"5'10""",11 07,30-04-81,São João de Madeira,Sporting Braga,Belenenses,2006,Portuguese
28,28,Gonçalo Brandão,D,"6'00""",11 05,09-10-86,Lisbon,None,Belenenses,2006,Portuguese
30,30,Dady,F,"6'03""",13 03,13-08-81,Lisbon,Estoril,Belenenses,2006,Portuguese
41,73,Costinha,G,"6'00""",13 10,22-09-73,Braga,União Leiria,Belenenses,2006,Portuguese
42,77,Fernando,F,"5'10""",11 05,16-04-81,Guarajá,Académica,Belenenses,2006,Portuguese
43,99,José Luis Garcés,F,"5'11""",11 09,06-05-81,Ciudad de Panamá,Nacional [URU],Belenenses,2006,Portuguese
1,1,José Moreira,G,6'00'',12 04,20-03-82,Oporto,None,Benfica,2006,Portuguese
2,2,Pedro Correia,D,5'09'',10 01,27-03-87,Oeiras,None,Benfica,2006,Portuguese
3,3,Anderson Cléber,D,6'01'',12 08,27-04-80,São Paulo,Corinthians,Benfica,2006,Portuguese
4,4,Luisão,D,6'04'',12 11,13-02-81,Amparo,Cruzeiro,Benfica,2006,Portuguese
5,5,Léo Bastos,D,5'07'',09 11,06-07-75,Campos,Santos,Benfica,2006,Portuguese
6,6,Armando Petit,M,5'10'',10 10,25-09-76,Strasbourg,Boavista,Benfica,2006,Portuguese
7,7,Marco Ferreira,M,5'10'',11 09,12-03-78,Vimioso,FC Porto,Benfica,2006,Portuguese
8,8,Konstantinos Katsouranis,M,6'00'',12 11,21-06-79,Patra,AEK Athens,Benfica,2006,Portuguese
9,9,Pedro Mantorras,F,5'10'',12 01,18-03-82,Luanda,Alverca,Benfica,2006,Portuguese
10,10,Rui Costa,M,5'11'',11 09,29-03-72,Lisboa,Milan,Benfica,2006,Portuguese
11,11,José Miguelito,M,5'07'',09 00,04-02-81,Póvoa de Varzim,Nacional [POR],Benfica,2006,Portuguese
12,12,Quim,G,6'00'',12 00,13-11-75,Famalição,Sporting Braga,Benfica,2006,Portuguese
15,15,Paulo Jorge,F,5'11'',11 05,05-05-81,Maia,Boavista,Benfica,2006,Portuguese
16,16,Beto,M,5'10'',11 05,20-11-76,Pernambuco,Beira-Mar,Benfica,2006,Portuguese
18,18,Manú,F,5'07'',10 10,28-08-82,Setúbal,Est. Amadora,Benfica,2006,Portuguese
20,20,Simão Sabrosa,F,5'07'',10 01,31-10-79,Constantim,Barcelona,Benfica,2006,Portuguese
21,21,Nuno Gomes,F,5'11'',11 05,05-07-76,Amarante,Fiorentina,Benfica,2006,Portuguese
22,22,Nélson,D,"5'07""",10 03,10-06-83,Praia,Boavista,Benfica,2006,Portuguese
23,23,David Luiz,D,6'01'',11 07,22-04-87,São Paulo,Vitória,Benfica,2006,Portuguese
25,25,Nuno Assis,M,5'06'',09 13,25-11-77,Coimbra,Vit. Guimarães,Benfica,2006,Portuguese
26,26,Giorgios Karagounis,M,"5'09""",11 09,06-03-77,Pyrgos,Panathinaikos,Benfica,2006,Portuguese
27,27,Derlei,F,5'09'',11  05,14-07-75,São Bernardo,Dynamo Moscow,Benfica,2006,Portuguese
28,28,João Coimbra,M,6'00'',12 13,24-05-86,Santa Comba Dãp,None,Benfica,2006,Portuguese
30,30,Fabrizio Miccoli,F,"5'05""",09 06,27-06-79,Nardò,Juventus,Benfica,2006,Portuguese
31,31,Marcelo Moretto,G,"6'05""",14 11,10-05-78,Eldorado,Vit. Setúbal,Benfica,2006,Portuguese
1,1,William Andem,G,6'01'',15 02,14-06-68,Douala,Cruzeiro,Boavista,2006,Portuguese
2,2,Leonardo Tambussi,D,"5'11""",11 09,02-09-81,Mar del Plata,Dorados de Sinaloa,Boavista,2006,Portuguese
3,3,Ricardo Silva,D,6'02'',12 08,26-09-75,Oporto,Beira-Mar,Boavista,2006,Portuguese
4,4,Kalifa Cissé,M,"6'02""",12 11,01-09-84,Orleans,Estoril,Boavista,2006,Portuguese
5,5,Przemyslaw Kazmierczak,M,6'04'',11 11,05-05-82,Łódź,Pogoń  Szczecin,Boavista,2006,Portuguese
6,6,Paulo Sousa,M,5'10'',11 05,17-09-80,Mafamude,Estoril,Boavista,2006,Portuguese
7,7,Zé Manuel,F,5'07'',10 03,22-02-75,Fraião,Paços de Ferreira,Boavista,2006,Portuguese
8,8,António Livramento,M,5'08'',10 08,03-03-82,Tavira,Santa Clara,Boavista,2006,Portuguese
9,9,Fary Faye,F,5'11'',11 11,24-12-74,Dakar,Beira-Mar,Boavista,2006,Portuguese
11,11,Rafał  Grzelak,F,5'09'',11 09,24-06-82,Łódź,Pogoń  Szczecin,Boavista,2006,Portuguese
14,14,Krzysztof Kazimierczak,D,"5'11""",12 00,13-03-81,Lubin,Wisla Plock,Boavista,2006,Portuguese
15,15,Fernando Dinis,D,"5'09""",13 01,25-07-82,Vila Real,Ol. Moscavide,Boavista,2006,Portuguese
17,17,Nuno Pinto,M,5'09'',,06-08-86,,Vilanovense,Boavista,2006,Portuguese
22,22,João Nuno Lucas,M,"5'07""",11 07,25-10-79,Caldas de Rainha,Académica,Boavista,2006,Portuguese
23,23,Hugo Monteiro,M,"5'09""",11 03,09-05-85,Porto,Paredes,Boavista,2006,Portuguese
24,24,Khadim Faye,G,6'05'',13 03,05-09-70,Dakar,Felgueiras,Boavista,2006,Portuguese
25,25,Guy Stephane Essamé,M,5'10'',11 07,25-11-84,,Sportivo Luqueño,Boavista,2006,Portuguese
27,27,Marquinho,D,"6'00""",11 11,22-03-83,Rio de Janeiro,Madureira,Boavista,2006,Portuguese
28,28,Ricardo Sousa,M,5'10'',11 09,11-01-79,São João Madeira,Hannover 96,Boavista,2006,Portuguese
29,29,Roland Linz,F,"6'01""",11 05,09-08-81,Leoben,Austria Vienna,Boavista,2006,Portuguese
30,30,Mário  Silva,D,5'09'',11  07,24-04-77,Oporto,Cádiz,Boavista,2006,Portuguese
33,33,Marcos António,F,5'11'',,15-11-79,,,Boavista,2006,Portuguese
37,37,Hélder Rosário,D,5'10'',12 01,09-03-80,Lisbon,Belenenses,Boavista,2006,Portuguese
41,50,Adriano Pedro Bessa,D,5'08'',10 10,18-12-76,Valongo,Naval,Boavista,2006,Portuguese
42,66,Tiago,M,5'08'',09 06,04-07-75,Trofa,FC Porto,Boavista,2006,Portuguese
43,80,Peter Jehle,G,5'08'',11 11,22-01-82,Vaduz,FC Schaan,Boavista,2006,Portuguese
1,1,Mota,G,6'01'',12 08,14-04-76,Avintes,Gondomar,Desportivo das Aves,2006,Portuguese
2,2,Bruno Fernandes,D,"5'11""",12  06,06-11-78,Lisbon,Beroe,Desportivo das Aves,2006,Portuguese
3,3,José Anilton,D,6'01'',11 07,10-07-80,Penedo,Corinthians Alagoano,Desportivo das Aves,2006,Portuguese
4,4,Sérgio Carvalho,D,"5'11""",12  04,06-05-77,Oporto,Varzim,Desportivo das Aves,2006,Portuguese
5,5,Sérgio Nunes,D,"6'00""",11  11,21-07-74,Matosinhos,Santa Clara,Desportivo das Aves,2006,Portuguese
6,6,Mércio,M,5'09'',11 05,26-05-80,Recife,,Desportivo das Aves,2006,Portuguese
7,7,Vítor Manuel,M,5'08'',11 07,09-09-70,Vila das Aves,,Desportivo das Aves,2006,Portuguese
8,8,Marcelo Henrique,M,5'11'',12 00,12-09-77,São Paulo,Ovarense,Desportivo das Aves,2006,Portuguese
9,9,Freddy,F,5'09'',11  09,14-08-79,Malanje,Moreirense,Desportivo das Aves,2006,Portuguese
10,10,Almani Da Silva Moreira,M,"5'06""",11 00,16-06-78,,Dynamo Moscow,Desportivo das Aves,2006,Portuguese
11,11,Xano,F,5'07'',10 03,24-03-81,Braga,,Desportivo das Aves,2006,Portuguese
12,12,Paulo Musse,G,6'05'',14 02,11-03-78,Salvador da Bahia,Juventus-SP,Desportivo das Aves,2006,Portuguese
13,13,Rui  Figueiredo,D,5'11'',11  11,07-04-83,Barcelos,Gil Vicente,Desportivo das Aves,2006,Portuguese
14,14,Leandro,D,"5'10""",12 02,16-06-79,Caminha,,Desportivo das Aves,2006,Portuguese
15,15,Paulo Sérgio,F,"5'05""",10 06,24-01-84,Lisbon,Sporting CP,Desportivo das Aves,2006,Portuguese
16,16,Jorge  Ribeiro,D,"5'08""",10  10,09-11-81,Lisbon,Dynamo Moscow,Desportivo das Aves,2006,Portuguese
17,17,Diego Gama,F,,,,,,Desportivo das Aves,2006,Portuguese
18,18,Pedro Geraldo,D,5'09'',10 10,27-08-79,Guimarães,,Desportivo das Aves,2006,Portuguese
19,19,Artur  Futre,F,5'09'',11  03,29-04-83,Montijo,Maia,Desportivo das Aves,2006,Portuguese
20,20,Hernâni,F,5'08'',10 08,27-08-81,Maia,Moncorvo,Desportivo das Aves,2006,Portuguese
21,21,Jocivalter,M,5'08'',10  12,06-05-79,Foz do Iguaçu,Portuguesa,Desportivo das Aves,2006,Portuguese
22,22,Nené,M,6'00'',12  00,24-08-79,Lisbon,U. Leiria,Desportivo das Aves,2006,Portuguese
24,24,Rui Faria,G,5'10'',11 05,09-12-80,S. Martinho do Conde,,Desportivo das Aves,2006,Portuguese
25,25,William,D,6'02'',13 05,18-05-79,NGoundere,Trofense,Desportivo das Aves,2006,Portuguese
26,26,Octávio,F,"5'07""",10 12,19-05-72,Póvoa Varzim,,Desportivo das Aves,2006,Portuguese
30,30,Diego Martins,M,,,,,,Desportivo das Aves,2006,Portuguese
33,33,Nuno,G,6'03'',12  13,25-01-74,São Tome e Principe,Dynamo Moscow,Desportivo das Aves,2006,Portuguese
41,77,Dill,F,"5'06""",09 11,04-03-74,São Luiz,Penafiel,Desportivo das Aves,2006,Portuguese
42,96,Filipe  Anunciação,M,5'10'',11  11,27-05-79,Matosinhos,Boavista,Desportivo das Aves,2006,Portuguese
1,1,Paulo Lopes,G,5'11'',11 07,29-06-78,Mirandela,Salgueiros,Estrela da Amadora,2006,Portuguese
2,2,Daniel Amoreirinha,D,5'11'',11 11,05-08-84,Vila Franca de Xira,Benfica,Estrela da Amadora,2006,Portuguese
3,3,Tiago Gomes II,D,5'09'',11 00,29-07-86,Oeiras,Benfica,Estrela da Amadora,2006,Portuguese
4,4,Hugo Carreira,D,6'02'',12 08,10-03-79,Barreiro,Nacional,Estrela da Amadora,2006,Portuguese
5,5,Aliou N'Daye,F,5'11'',11 09,28-01-80,Dakar,Douane,Estrela da Amadora,2006,Portuguese
6,6,Luís Loureiro,M,6'01'',12 13,04-12-76,Lisbon,Sporting CP,Estrela da Amadora,2006,Portuguese
7,7,Zamorano,M,"5'05""",10 06,05-04-82,Felgueiras,Leixões,Estrela da Amadora,2006,Portuguese
8,8,Daniel Silva,M,"5'09""",10 10,23-11-79,Feira de Santana,Grémio Inhumense,Estrela da Amadora,2006,Portuguese
9,9,Anselmo,F,"6'00""",11 09,06-01-84,Torres Vedras,Torreense,Estrela da Amadora,2006,Portuguese
12,12,Hugo Cardoso,G,"5'11""",11 03,02-02-87,Torres Vedras,Sporting CP,Estrela da Amadora,2006,Portuguese
13,13,Nuno Viveiros,F,5'07'',10 08,22-06-83,Machico,Xanthi,Estrela da Amadora,2006,Portuguese
14,14,Marco Paulo,M,5'10'',11  07,28-05-73,Lisbon,Estoril,Estrela da Amadora,2006,Portuguese
15,15,Moses Sakyi,F,"6'02""",12  04,12-03-81,Accra,Istanbulspor,Estrela da Amadora,2006,Portuguese
19,19,Sergio Marquês,M,5'09'',12 02,19-09-76,Lisbon,Olhanense,Estrela da Amadora,2006,Portuguese
20,20,Jordao,M,6'00'',12 07,30-08-71,Malanje,WBA,Estrela da Amadora,2006,Portuguese
21,21,Rui Borges,F,5'04'',09 11,30-08-71,Lisbon,Belenenses,Estrela da Amadora,2006,Portuguese
22,22,Pedro Simões,M,6'00'',12 06,24-09-74,Amadora,Elvas,Estrela da Amadora,2006,Portuguese
24,24,Yonathan,F,"5'10""",11 11,19-03-79,Gran Canaria,Estoril,Estrela da Amadora,2006,Portuguese
25,25,Pedro Alves,G,6'02'',12 11,08-02-79,Lisbon,Belenenses,Estrela da Amadora,2006,Portuguese
26,26,Tiago Rosa,M,6'01'',11 05,06-03-86,Mirandela,None,Estrela da Amadora,2006,Portuguese
27,27,Edu Silva,D,"5'10""",11 07,11-08-81,Entre Rios,Náutico,Estrela da Amadora,2006,Portuguese
29,29,Jaime Júnior,M,6'00'',12 06,27-04-79,Belem do Pará,Sporting Braga,Estrela da Amadora,2006,Portuguese
30,30,Tiago Gomes,M,5'11'',12 00,18-08-85,Vila Franca de Xira,Odivelas,Estrela da Amadora,2006,Portuguese
41,54,Dário,F,5'11'',12 01,27-02-77,Maputo,Vitória Guimarães,Estrela da Amadora,2006,Portuguese
42,55,Cleiton,M,5'10'',12 00,21-12-79,Barreiro,Rio Ave,Estrela da Amadora,2006,Portuguese
43,80,Rui Duarte,D,"5'09""",11  09,11-10-80,Lisbon,Estoril,Estrela da Amadora,2006,Portuguese
44,90,José  Fonte,D,"6'02""",12 08,22-12-83,Penafiel,Benfica,Estrela da Amadora,2006,Portuguese
45,99,Jones,M,"6'00""",12  04,29-04-84,Angra dos Reis,,Estrela da Amadora,2006,Portuguese
1,1,Fábio Santos,G,6'07'',13 12,19-09-78,,ADAP,Marítimo,2006,Portuguese
2,2,Alex  Von Schwedler,D,"6'00""",12  00,17-02-80,Santiago,Austria Salzburg,Marítimo,2006,Portuguese
4,4,Milton do Ó,D,"6'00""",13 05,24-02-79,,Fluminense,Marítimo,2006,Portuguese
6,6,Evaldo,D,"6'00""",12 08,18-03-82,Rio Piracicaba,FC Porto,Marítimo,2006,Portuguese
7,7,Kanu,F,5'09'',10 03,08-02-83,Boa Esperança,Ipatinga,Marítimo,2006,Portuguese
9,9,Collins Mbesuma,F,"6'00""",12  05,03-02-84,Luanshya,Portsmouth,Marítimo,2006,Portuguese
11,11,Marcelo Lipatín,F,"5'11""",11 11,28-01-77,Montevideo,Grêmio,Marítimo,2006,Portuguese
13,13,Olberdam,M,5'11'',12 02,06-02-85,João Pessoa,Corinthians Alagoano,Marítimo,2006,Portuguese
14,14,Fernando Silva,D,5'09'',11 00,03-10-80,Funchal,None,Marítimo,2006,Portuguese
15,15,Wênio,M,5'09'',11 05,09-09-79,Mineiros,Corinthians,Marítimo,2006,Portuguese
16,16,Ricardo Ferreira,F,5'08'',10 10,20-03-82,Viseu,Social Lamas,Marítimo,2006,Portuguese
17,17,Gregory Amorim,D,"6'02""",14 00,10-11-80,Lybry,Gil Vicente,Marítimo,2006,Portuguese
18,18,Luís Olim,M,5'06'',12 04,27-08-81,Funchal,None,Marítimo,2006,Portuguese
19,19,Cédric Moukouri,F,6'00'',12 06,29-10-79,Gonesse,Cherbourg,Marítimo,2006,Portuguese
20,20,Filipe Oliveira,F,5'10'',10 12,27-05-84,Braga,Chelsea,Marítimo,2006,Portuguese
21,21,Briguel,D,5'09'',11 00,08-03-79,Funchal,None,Marítimo,2006,Portuguese
22,22,Zé Gomes,D,5'09'',12 04,04-11-77,Vila do Conde,Rio Ave,Marítimo,2006,Portuguese
24,24,Christopher,G,5'11'',12 08,29-03-85,Dijon,None,Marítimo,2006,Portuguese
25,25,Martin Prest,F,6'01'',12 13,30-11-78,,Nourese,Marítimo,2006,Portuguese
26,26,Marcos,G,6'01'',12 13,21-06-76,Siqueira Campos,Paraná,Marítimo,2006,Portuguese
